"Step","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/Dice","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/Dice__MIN","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/Dice__MAX"
"2","0.2765156328678131","0.2765156328678131","0.2765156328678131"
"6","0.474348783493042","0.474348783493042","0.474348783493042"
"10","0.6410911679267883","0.6410911679267883","0.6410911679267883"
"14","0.7895088791847229","0.7895088791847229","0.7895088791847229"
"18","0.7844112515449524","0.7844112515449524","0.7844112515449524"
"22","0.7851311564445496","0.7851311564445496","0.7851311564445496"
"26","0.5584257245063782","0.5584257245063782","0.5584257245063782"
"30","0.5151057243347168","0.5151057243347168","0.5151057243347168"
"34","0.7108823657035828","0.7108823657035828","0.7108823657035828"
"38","0.7811812162399292","0.7811812162399292","0.7811812162399292"
"42","0.8427515625953674","0.8427515625953674","0.8427515625953674"
"46","0.848929226398468","0.848929226398468","0.848929226398468"
"50","0.8356927633285522","0.8356927633285522","0.8356927633285522"
"54","0.8267478346824646","0.8267478346824646","0.8267478346824646"
"58","0.8032556772232056","0.8032556772232056","0.8032556772232056"
"62","0.8605372905731201","0.8605372905731201","0.8605372905731201"
"66","0.7935692667961121","0.7935692667961121","0.7935692667961121"
"70","0.7814388275146484","0.7814388275146484","0.7814388275146484"
"74","0.5183476209640503","0.5183476209640503","0.5183476209640503"
"78","0.7671962976455688","0.7671962976455688","0.7671962976455688"
"82","0.7638645172119141","0.7638645172119141","0.7638645172119141"
"86","0.8137664198875427","0.8137664198875427","0.8137664198875427"
"90","0.8466278314590454","0.8466278314590454","0.8466278314590454"
"94","0.4836287200450897","0.4836287200450897","0.4836287200450897"
"98","0.8475987911224365","0.8475987911224365","0.8475987911224365"
"102","0.43041038513183594","0.43041038513183594","0.43041038513183594"
"106","0.8938644528388977","0.8938644528388977","0.8938644528388977"
"110","0.6672238707542419","0.6672238707542419","0.6672238707542419"
"114","0.9240498542785645","0.9240498542785645","0.9240498542785645"
"118","0.9116110801696777","0.9116110801696777","0.9116110801696777"
"122","0.8941007256507874","0.8941007256507874","0.8941007256507874"
"126","0.8847869634628296","0.8847869634628296","0.8847869634628296"
"130","0.36623507738113403","0.36623507738113403","0.36623507738113403"
"134","0.833132803440094","0.833132803440094","0.833132803440094"
"138","0.9171665906906128","0.9171665906906128","0.9171665906906128"
"142","0.9087949991226196","0.9087949991226196","0.9087949991226196"
"146","0.9165332317352295","0.9165332317352295","0.9165332317352295"
"150","0.8454347252845764","0.8454347252845764","0.8454347252845764"
"154","0.924260675907135","0.924260675907135","0.924260675907135"
"158","0.9278191328048706","0.9278191328048706","0.9278191328048706"
"162","0.9201910495758057","0.9201910495758057","0.9201910495758057"
"166","0.8521351218223572","0.8521351218223572","0.8521351218223572"
"170","0.9115245342254639","0.9115245342254639","0.9115245342254639"
"174","0.9124904274940491","0.9124904274940491","0.9124904274940491"
"178","0.9328858256340027","0.9328858256340027","0.9328858256340027"
"182","0.9285856485366821","0.9285856485366821","0.9285856485366821"
"186","0.9276675581932068","0.9276675581932068","0.9276675581932068"
"190","0.6811392307281494","0.6811392307281494","0.6811392307281494"
"194","0.9161844253540039","0.9161844253540039","0.9161844253540039"
"198","0.9384165406227112","0.9384165406227112","0.9384165406227112"
"202","0.8767274618148804","0.8767274618148804","0.8767274618148804"
"206","0.9342928528785706","0.9342928528785706","0.9342928528785706"
"210","0.9416231513023376","0.9416231513023376","0.9416231513023376"
"214","0.9367797374725342","0.9367797374725342","0.9367797374725342"
"218","0.9214345216751099","0.9214345216751099","0.9214345216751099"
"222","0.9322106242179871","0.9322106242179871","0.9322106242179871"
"226","0.9304733276367188","0.9304733276367188","0.9304733276367188"
"230","0.9309028387069702","0.9309028387069702","0.9309028387069702"
"234","0.7619625926017761","0.7619625926017761","0.7619625926017761"
"238","0.759474515914917","0.759474515914917","0.759474515914917"
"242","0.9025078415870667","0.9025078415870667","0.9025078415870667"
"246","0.9360110759735107","0.9360110759735107","0.9360110759735107"
"250","0.9410550594329834","0.9410550594329834","0.9410550594329834"
"254","0.9355705976486206","0.9355705976486206","0.9355705976486206"
"258","0.8987230062484741","0.8987230062484741","0.8987230062484741"
"262","0.9350789189338684","0.9350789189338684","0.9350789189338684"
"266","0.9326266050338745","0.9326266050338745","0.9326266050338745"
"270","0.9242696762084961","0.9242696762084961","0.9242696762084961"
"274","0.9270603656768799","0.9270603656768799","0.9270603656768799"
"278","0.934610903263092","0.934610903263092","0.934610903263092"
"282","0.9343783855438232","0.9343783855438232","0.9343783855438232"
"286","0.9399259686470032","0.9399259686470032","0.9399259686470032"
"290","0.9381338953971863","0.9381338953971863","0.9381338953971863"
"294","0.9265172481536865","0.9265172481536865","0.9265172481536865"
"298","0.9124745726585388","0.9124745726585388","0.9124745726585388"
"302","0.9401397705078125","0.9401397705078125","0.9401397705078125"
"306","0.5117727518081665","0.5117727518081665","0.5117727518081665"
"310","0.939415454864502","0.939415454864502","0.939415454864502"
"314","0.9428160786628723","0.9428160786628723","0.9428160786628723"
"318","0.8925085663795471","0.8925085663795471","0.8925085663795471"
"322","0.9470933675765991","0.9470933675765991","0.9470933675765991"
"326","0.9257574081420898","0.9257574081420898","0.9257574081420898"
"330","0.9477062225341797","0.9477062225341797","0.9477062225341797"
"334","0.9323754906654358","0.9323754906654358","0.9323754906654358"
"338","0.726309597492218","0.726309597492218","0.726309597492218"
"342","0.9385792016983032","0.9385792016983032","0.9385792016983032"
"346","0.9358264803886414","0.9358264803886414","0.9358264803886414"
"350","0.947637140750885","0.947637140750885","0.947637140750885"
"354","0.9272063970565796","0.9272063970565796","0.9272063970565796"
"358","0.9427592754364014","0.9427592754364014","0.9427592754364014"
"362","0.9044370055198669","0.9044370055198669","0.9044370055198669"
"366","0.765028178691864","0.765028178691864","0.765028178691864"
"370","0.9328370690345764","0.9328370690345764","0.9328370690345764"
"374","0.9464380741119385","0.9464380741119385","0.9464380741119385"
"378","0.9084818363189697","0.9084818363189697","0.9084818363189697"
"382","0.9408280253410339","0.9408280253410339","0.9408280253410339"
"386","0.9520694017410278","0.9520694017410278","0.9520694017410278"
"390","0.9417486786842346","0.9417486786842346","0.9417486786842346"
"394","0.875245988368988","0.875245988368988","0.875245988368988"
"398","0.9449970126152039","0.9449970126152039","0.9449970126152039"
"402","0.9483116269111633","0.9483116269111633","0.9483116269111633"
"406","0.9368201494216919","0.9368201494216919","0.9368201494216919"
"410","0.9496877789497375","0.9496877789497375","0.9496877789497375"
"414","0.9487922191619873","0.9487922191619873","0.9487922191619873"
"418","0.9405023455619812","0.9405023455619812","0.9405023455619812"
"422","0.9250102043151855","0.9250102043151855","0.9250102043151855"
"426","0.9245250225067139","0.9245250225067139","0.9245250225067139"
"430","0.9346785545349121","0.9346785545349121","0.9346785545349121"
"434","0.9096986651420593","0.9096986651420593","0.9096986651420593"
"438","0.9389534592628479","0.9389534592628479","0.9389534592628479"
"442","0.9270636439323425","0.9270636439323425","0.9270636439323425"
"446","0.9252952933311462","0.9252952933311462","0.9252952933311462"
"450","0.9323369860649109","0.9323369860649109","0.9323369860649109"
"454","0.931922972202301","0.931922972202301","0.931922972202301"
"458","0.9477388262748718","0.9477388262748718","0.9477388262748718"
"462","0.9221251606941223","0.9221251606941223","0.9221251606941223"
"466","0.9326197504997253","0.9326197504997253","0.9326197504997253"
"470","0.9351388216018677","0.9351388216018677","0.9351388216018677"
"474","0.9465956687927246","0.9465956687927246","0.9465956687927246"
"478","0.9388815760612488","0.9388815760612488","0.9388815760612488"
"482","0.907235860824585","0.907235860824585","0.907235860824585"
"486","0.9461492300033569","0.9461492300033569","0.9461492300033569"
"490","0.9431100487709045","0.9431100487709045","0.9431100487709045"
"494","0.9554482698440552","0.9554482698440552","0.9554482698440552"
"498","0.9412478804588318","0.9412478804588318","0.9412478804588318"
"502","0.9419772624969482","0.9419772624969482","0.9419772624969482"
"506","0.939203679561615","0.939203679561615","0.939203679561615"
"510","0.9443572759628296","0.9443572759628296","0.9443572759628296"
"514","0.9535152912139893","0.9535152912139893","0.9535152912139893"
"518","0.9556424021720886","0.9556424021720886","0.9556424021720886"
"522","0.9491652250289917","0.9491652250289917","0.9491652250289917"
"526","0.930154025554657","0.930154025554657","0.930154025554657"
"530","0.9517459869384766","0.9517459869384766","0.9517459869384766"
"534","0.9395876526832581","0.9395876526832581","0.9395876526832581"
"538","0.9367179870605469","0.9367179870605469","0.9367179870605469"
"542","0.9509181380271912","0.9509181380271912","0.9509181380271912"
"546","0.9509015083312988","0.9509015083312988","0.9509015083312988"
"550","0.9464803338050842","0.9464803338050842","0.9464803338050842"
"554","0.9001940488815308","0.9001940488815308","0.9001940488815308"
"558","0.9498922824859619","0.9498922824859619","0.9498922824859619"
"562","0.8880801796913147","0.8880801796913147","0.8880801796913147"
"566","0.9512745141983032","0.9512745141983032","0.9512745141983032"
"570","0.9426930546760559","0.9426930546760559","0.9426930546760559"
"574","0.9500254988670349","0.9500254988670349","0.9500254988670349"
"578","0.9384692311286926","0.9384692311286926","0.9384692311286926"
"582","0.9482423663139343","0.9482423663139343","0.9482423663139343"
"586","0.9160515069961548","0.9160515069961548","0.9160515069961548"
"590","0.9452046751976013","0.9452046751976013","0.9452046751976013"
"594","0.9455791711807251","0.9455791711807251","0.9455791711807251"
"598","0.9436805248260498","0.9436805248260498","0.9436805248260498"
"602","0.947198212146759","0.947198212146759","0.947198212146759"
"606","0.945973813533783","0.945973813533783","0.945973813533783"
"610","0.9457231760025024","0.9457231760025024","0.9457231760025024"
"614","0.9521870613098145","0.9521870613098145","0.9521870613098145"
"618","0.9411596059799194","0.9411596059799194","0.9411596059799194"
"622","0.9507134556770325","0.9507134556770325","0.9507134556770325"
"626","0.951278805732727","0.951278805732727","0.951278805732727"
"630","0.9441590905189514","0.9441590905189514","0.9441590905189514"