"Step","train - metrics/mAP50-95(B)","train - metrics/mAP50-95(B)__MIN","train - metrics/mAP50-95(B)__MAX"
"1","0.35196","0.35196","0.35196"
"2","0.32344","0.32344","0.32344"
"3","0.242","0.242","0.242"
"4","0.24794","0.24794","0.24794"
"5","0.24269","0.24269","0.24269"
"6","0.34011","0.34011","0.34011"
"7","0.24055","0.24055","0.24055"
"8","0.4015","0.4015","0.4015"
"9","0.38938","0.38938","0.38938"
"10","0.40817","0.40817","0.40817"
"11","0.34151","0.34151","0.34151"
"12","0.38628","0.38628","0.38628"
"13","0.28759","0.28759","0.28759"
"14","0.45607","0.45607","0.45607"
"15","0.44757","0.44757","0.44757"
"16","0.46086","0.46086","0.46086"
"17","0.4215","0.4215","0.4215"
"18","0.31081","0.31081","0.31081"
"19","0.47044","0.47044","0.47044"
"20","0.45248","0.45248","0.45248"
"21","0.45733","0.45733","0.45733"
"22","0.45762","0.45762","0.45762"
"23","0.47969","0.47969","0.47969"
"24","0.48205","0.48205","0.48205"
"25","0.48277","0.48277","0.48277"
"26","0.46719","0.46719","0.46719"
"27","0.4638","0.4638","0.4638"
"28","0.48959","0.48959","0.48959"
"29","0.49107","0.49107","0.49107"
"30","0.50031","0.50031","0.50031"
"31","0.45524","0.45524","0.45524"
"32","0.49783","0.49783","0.49783"
"33","0.50991","0.50991","0.50991"
"34","0.40446","0.40446","0.40446"
"35","0.46764","0.46764","0.46764"
"36","0.47191","0.47191","0.47191"
"37","0.50356","0.50356","0.50356"
"38","0.51765","0.51765","0.51765"
"39","0.51639","0.51639","0.51639"
"40","0.5235","0.5235","0.5235"
"41","0.5037","0.5037","0.5037"
"42","0.47285","0.47285","0.47285"
"43","0.52254","0.52254","0.52254"
"44","0.44485","0.44485","0.44485"
"45","0.5194","0.5194","0.5194"
"46","0.51806","0.51806","0.51806"
"47","0.52096","0.52096","0.52096"
"48","0.52874","0.52874","0.52874"
"49","0.52068","0.52068","0.52068"
"50","0.52303","0.52303","0.52303"
"51","0.53042","0.53042","0.53042"
"52","0.52777","0.52777","0.52777"
"53","0.53361","0.53361","0.53361"
"54","0.50636","0.50636","0.50636"
"55","0.53122","0.53122","0.53122"
"56","0.47748","0.47748","0.47748"
"57","0.53078","0.53078","0.53078"
"58","0.53588","0.53588","0.53588"
"59","0.54096","0.54096","0.54096"
"60","0.50961","0.50961","0.50961"
"61","0.53753","0.53753","0.53753"
"62","0.53714","0.53714","0.53714"
"63","0.53872","0.53872","0.53872"
"64","0.53126","0.53126","0.53126"
"65","0.54509","0.54509","0.54509"
"66","0.54016","0.54016","0.54016"
"67","0.54829","0.54829","0.54829"
"68","0.55159","0.55159","0.55159"
"69","0.54974","0.54974","0.54974"
"70","0.55313","0.55313","0.55313"
"71","0.54617","0.54617","0.54617"
"72","0.53985","0.53985","0.53985"
"73","0.53562","0.53562","0.53562"
"74","0.53575","0.53575","0.53575"
"75","0.54328","0.54328","0.54328"
"76","0.5509","0.5509","0.5509"
"77","0.54686","0.54686","0.54686"
"78","0.54628","0.54628","0.54628"
"79","0.54879","0.54879","0.54879"
"80","0.54927","0.54927","0.54927"
"81","0.55566","0.55566","0.55566"
"82","0.55679","0.55679","0.55679"
"83","0.55472","0.55472","0.55472"
"84","0.5522","0.5522","0.5522"
"85","0.55067","0.55067","0.55067"
"86","0.55626","0.55626","0.55626"
"87","0.5567","0.5567","0.5567"
"88","0.55362","0.55362","0.55362"
"89","0.55181","0.55181","0.55181"
"90","0.55425","0.55425","0.55425"
"91","0.5277","0.5277","0.5277"
"92","0.50495","0.50495","0.50495"
"93","0.5414","0.5414","0.5414"
"94","0.55476","0.55476","0.55476"
"95","0.55719","0.55719","0.55719"
"96","0.55923","0.55923","0.55923"
"97","0.55854","0.55854","0.55854"
"98","0.55992","0.55992","0.55992"
"99","0.56046","0.56046","0.56046"
"100","0.55817","0.55817","0.55817"
"101","0.55716","0.55716","0.55716"
"102","0.55956","0.55956","0.55956"
"103","0.56046","0.56046","0.56046"
"104","0.56073","0.56073","0.56073"
"105","0.5609","0.5609","0.5609"
"106","0.56136","0.56136","0.56136"
"107","0.56091","0.56091","0.56091"
"108","0.55964","0.55964","0.55964"
"109","0.56156","0.56156","0.56156"
"110","0.56196","0.56196","0.56196"
"111","0.56237","0.56237","0.56237"
"112","0.56311","0.56311","0.56311"
"113","0.56331","0.56331","0.56331"
"114","0.56362","0.56362","0.56362"
"115","0.56367","0.56367","0.56367"
"116","0.56397","0.56397","0.56397"
"117","0.56432","0.56432","0.56432"
"118","0.56372","0.56372","0.56372"
"119","0.5643","0.5643","0.5643"
"120","0.56434","0.56434","0.56434"
"121","0.56474","0.56474","0.56474"
"122","0.56439","0.56439","0.56439"
"123","0.56463","0.56463","0.56463"
"124","0.56467","0.56467","0.56467"
"125","0.56483","0.56483","0.56483"
"126","0.56516","0.56516","0.56516"
"127","0.56577","0.56577","0.56577"
"128","0.56609","0.56609","0.56609"
"129","0.56588","0.56588","0.56588"
"130","0.56648","0.56648","0.56648"
"131","0.56688","0.56688","0.56688"
"132","0.56724","0.56724","0.56724"
"133","0.56708","0.56708","0.56708"
"134","0.56691","0.56691","0.56691"
"135","0.5668","0.5668","0.5668"
"136","0.56709","0.56709","0.56709"
"137","0.56766","0.56766","0.56766"
"138","0.56769","0.56769","0.56769"
"139","0.56776","0.56776","0.56776"
"140","0.568","0.568","0.568"
"141","0.56795","0.56795","0.56795"
"142","0.56787","0.56787","0.56787"
"143","0.56753","0.56753","0.56753"
"144","0.56792","0.56792","0.56792"
"145","0.56793","0.56793","0.56793"
"146","0.56795","0.56795","0.56795"
"147","0.56811","0.56811","0.56811"
"148","0.56818","0.56818","0.56818"
"149","0.56807","0.56807","0.56807"
"150","0.568128735430333","0.568128735430333","0.568128735430333"