"Step","train - metrics/mAP50(B)","train - metrics/mAP50(B)__MIN","train - metrics/mAP50(B)__MAX"
"1","0.57595","0.57595","0.57595"
"2","0.55248","0.55248","0.55248"
"3","0.44911","0.44911","0.44911"
"4","0.46804","0.46804","0.46804"
"5","0.4658","0.4658","0.4658"
"6","0.58817","0.58817","0.58817"
"7","0.39937","0.39937","0.39937"
"8","0.64642","0.64642","0.64642"
"9","0.62698","0.62698","0.62698"
"10","0.64625","0.64625","0.64625"
"11","0.54296","0.54296","0.54296"
"12","0.59945","0.59945","0.59945"
"13","0.47128","0.47128","0.47128"
"14","0.6914","0.6914","0.6914"
"15","0.69482","0.69482","0.69482"
"16","0.68061","0.68061","0.68061"
"17","0.66332","0.66332","0.66332"
"18","0.47352","0.47352","0.47352"
"19","0.69209","0.69209","0.69209"
"20","0.67672","0.67672","0.67672"
"21","0.67624","0.67624","0.67624"
"22","0.69089","0.69089","0.69089"
"23","0.72294","0.72294","0.72294"
"24","0.71245","0.71245","0.71245"
"25","0.71434","0.71434","0.71434"
"26","0.69562","0.69562","0.69562"
"27","0.70236","0.70236","0.70236"
"28","0.72737","0.72737","0.72737"
"29","0.71709","0.71709","0.71709"
"30","0.72882","0.72882","0.72882"
"31","0.67405","0.67405","0.67405"
"32","0.74073","0.74073","0.74073"
"33","0.7394","0.7394","0.7394"
"34","0.59754","0.59754","0.59754"
"35","0.68103","0.68103","0.68103"
"36","0.71695","0.71695","0.71695"
"37","0.74086","0.74086","0.74086"
"38","0.75085","0.75085","0.75085"
"39","0.74867","0.74867","0.74867"
"40","0.75107","0.75107","0.75107"
"41","0.73089","0.73089","0.73089"
"42","0.69039","0.69039","0.69039"
"43","0.75059","0.75059","0.75059"
"44","0.65873","0.65873","0.65873"
"45","0.74362","0.74362","0.74362"
"46","0.75","0.75","0.75"
"47","0.75301","0.75301","0.75301"
"48","0.75624","0.75624","0.75624"
"49","0.75167","0.75167","0.75167"
"50","0.75159","0.75159","0.75159"
"51","0.75527","0.75527","0.75527"
"52","0.74697","0.74697","0.74697"
"53","0.76238","0.76238","0.76238"
"54","0.71485","0.71485","0.71485"
"55","0.75898","0.75898","0.75898"
"56","0.68467","0.68467","0.68467"
"57","0.75636","0.75636","0.75636"
"58","0.76243","0.76243","0.76243"
"59","0.77067","0.77067","0.77067"
"60","0.72659","0.72659","0.72659"
"61","0.76535","0.76535","0.76535"
"62","0.76728","0.76728","0.76728"
"63","0.76568","0.76568","0.76568"
"64","0.76454","0.76454","0.76454"
"65","0.77568","0.77568","0.77568"
"66","0.76693","0.76693","0.76693"
"67","0.77363","0.77363","0.77363"
"68","0.77433","0.77433","0.77433"
"69","0.77522","0.77522","0.77522"
"70","0.77784","0.77784","0.77784"
"71","0.77155","0.77155","0.77155"
"72","0.76878","0.76878","0.76878"
"73","0.77031","0.77031","0.77031"
"74","0.76933","0.76933","0.76933"
"75","0.77066","0.77066","0.77066"
"76","0.7767","0.7767","0.7767"
"77","0.77548","0.77548","0.77548"
"78","0.7761","0.7761","0.7761"
"79","0.77601","0.77601","0.77601"
"80","0.77593","0.77593","0.77593"
"81","0.78216","0.78216","0.78216"
"82","0.78354","0.78354","0.78354"
"83","0.78042","0.78042","0.78042"
"84","0.77867","0.77867","0.77867"
"85","0.7802","0.7802","0.7802"
"86","0.78411","0.78411","0.78411"
"87","0.78416","0.78416","0.78416"
"88","0.78055","0.78055","0.78055"
"89","0.77727","0.77727","0.77727"
"90","0.78006","0.78006","0.78006"
"91","0.74159","0.74159","0.74159"
"92","0.72","0.72","0.72"
"93","0.75849","0.75849","0.75849"
"94","0.78078","0.78078","0.78078"
"95","0.78439","0.78439","0.78439"
"96","0.78557","0.78557","0.78557"
"97","0.78492","0.78492","0.78492"
"98","0.78646","0.78646","0.78646"
"99","0.78675","0.78675","0.78675"
"100","0.78556","0.78556","0.78556"
"101","0.78504","0.78504","0.78504"
"102","0.78632","0.78632","0.78632"
"103","0.78861","0.78861","0.78861"
"104","0.78865","0.78865","0.78865"
"105","0.78971","0.78971","0.78971"
"106","0.78992","0.78992","0.78992"
"107","0.78826","0.78826","0.78826"
"108","0.78801","0.78801","0.78801"
"109","0.78918","0.78918","0.78918"
"110","0.78936","0.78936","0.78936"
"111","0.78968","0.78968","0.78968"
"112","0.78994","0.78994","0.78994"
"113","0.78942","0.78942","0.78942"
"114","0.79038","0.79038","0.79038"
"115","0.79127","0.79127","0.79127"
"116","0.7913","0.7913","0.7913"
"117","0.79097","0.79097","0.79097"
"118","0.79131","0.79131","0.79131"
"119","0.79116","0.79116","0.79116"
"120","0.79048","0.79048","0.79048"
"121","0.79106","0.79106","0.79106"
"122","0.79105","0.79105","0.79105"
"123","0.7904","0.7904","0.7904"
"124","0.79014","0.79014","0.79014"
"125","0.79085","0.79085","0.79085"
"126","0.79105","0.79105","0.79105"
"127","0.79142","0.79142","0.79142"
"128","0.79192","0.79192","0.79192"
"129","0.79231","0.79231","0.79231"
"130","0.79215","0.79215","0.79215"
"131","0.79268","0.79268","0.79268"
"132","0.79272","0.79272","0.79272"
"133","0.79282","0.79282","0.79282"
"134","0.79282","0.79282","0.79282"
"135","0.79257","0.79257","0.79257"
"136","0.79287","0.79287","0.79287"
"137","0.79293","0.79293","0.79293"
"138","0.79315","0.79315","0.79315"
"139","0.79348","0.79348","0.79348"
"140","0.7933","0.7933","0.7933"
"141","0.7932","0.7932","0.7932"
"142","0.79349","0.79349","0.79349"
"143","0.79366","0.79366","0.79366"
"144","0.79397","0.79397","0.79397"
"145","0.79406","0.79406","0.79406"
"146","0.79429","0.79429","0.79429"
"147","0.79453","0.79453","0.79453"
"148","0.79462","0.79462","0.79462"
"149","0.79466","0.79466","0.79466"
"150","0.7945879329543777","0.7945879329543777","0.7945879329543777"